,0
674,I have used Uber two times and both rides were comfortable and the drivers were courteous and professional. I didn’t encounter any problems and would use Uber again if the need arises. I don’t have any complaints at this time.
675,"Drivers were close by every time I requested a pickup. Definitely a plus when you're kind of in a hurry. All vehicles were clean and dent free. As the drivers go each were pleasant to speak with. In general my experience was great overall. Just a little odd when deciding how much to tip, not sure how much of a tip they get from the company itself."
676,"Uber needs to understand that their cab pooling service is very time consuming for passengers. The drivers go even 1-2 kms off destination route to pick up and drop other pool riders. Kindly understand, this is very time consuming and we don't reach our destination early. Not like the fares are super-low that we have to bear this kind of torturous service. It would be awesome if Uber pool services are far more efficient, in the sense, each following pick up should not be of 5-8 mins of difference in terms of distance. In this way, more people will use pool services and add less to traffic jams. Uber should not just focus on making money but also contribute to lesser vehicles on roads which is very necessary in cities like Bangalore which is overflowing with traffic. Kindly do make an impact by bettering pool services and reducing cab fares."
677,This was the first time that I was using the Uber app. I attempted to set up a pick up for a future date to go to the airport. 5 over drivers showed up. One of them charge me a cancellation fee. One of them charge me for the trip to the airport that I never took. Once I realize that they were showing up I immediately texted the drivers and told them this was a mistake. I wanted it for a future date. They said no problem. However they still showed up and they still charge me. Do not use Uber. They are Crooks. The only reason I gave him one Stars they won't post this review unless you give them some type of rating so I gave them one star even though they deserve nothing.
678,"Always quick to confirm a ride no matter the time of day of the location making it very convenient. Use them often to and from the airport, very dependable."
679,"Uber is the worst company I have ever dealt with - ever. They constantly try to nickel and dime you with their sneaky fees and incompetent drivers are the worst in the business. They shouldn’t be allowed to charge you whatever they want and when you dispute it they do nothing but tell you, ""Hey you have a lot of disputes"" - well hello maybe it’s because you guys suck? I deleted my account and will never use them again."
680,I just had my first and last Uber experience. I downloaded the app and scheduled a ride to the Tampa airport for 5:30am. I received an email confirming my ride had been scheduled. That's the last I heard from Uber. We stood outside waiting for our ride and it never showed. My wife jumped online to order another ride that fortunately came at 6:10am. We barely made it to our flight and we have yet to find out if our bags made the flight. Lesson 1: Don't trust Uber email confirmations. Lesson 2: Uber does not want to get bad news. They make it virtually impossible to inform them of your consumer issue. Uber ruined the start of our vacation adding unnecessary stress. I will try Lyft next. Hope to have a better experience. Hope this is helpful.
681,"Driver was fine and so was ride. Experience of dealing with getting a coupon for first ride had me looking for a human being to talk to, and was amazed to find there was no one. I think they charge enough to hire customer service of some kind. I couldn't even find a human online."
682,This evening I placed an order with Swiss Chalet. Within seconds of submitting my order I realize my business address was selected instead of my home address. I hit the cancel button and my order was canceled instantly. This all happened within less than 10 seconds of confirming my order. I went back into Uber Eats and tried to select a Swiss Chalet with my home address but the restaurant did not come up. Assuming my order was canceled I went on SkipTheDishes and was able to place an order from a different location that was closer to my house. I then looked at my Uber Eats app and realized that they are not refunding my money for my order as they said the restaurant had already begun making the food. 
683,"Took a Uber ride about 8 minutes. The driver was Spanish. 3 hours later get email Uber takes $80 out of my Visa card. Apparently driver says 3 hours later I did damage. This is Uber's cleaning fee then I find out the driver was suppose to be a ** but I called, filed complaint but this is a scam all over Uber."
684,"If you need help, real support from Uber on their website, don't bother looking. It doesn't exist. No ""Contact Us"" or an email address or phone number. You do get directed to their Twitter feed where you can write in your question which is absurd on its face as I have never ever seen a company handle support in this way. And, you have to join Twitter just to do even this. I hate Twitter and find it stupid and useless which is why I used it for a few months years ago and deleted my account. And since I won't rejoin Twitter I cannot get in touch with Uber. "
685,"I recently started driving with Uber again and it’s only been a month. But somehow 4 times that I tried to do instant pay it fails. SMH. And when I calls driver support they tries to blame everyone but their selves. And this last time it failed. I’ve been waiting a week and still haven’t been paid. If you’re thinking about driving for Uber, I wouldn’t. They don’t care about the inconvenience of not paying you after you worked hard for them and they are very unprofessional."
686,"I do not have Uber in the area where I live. But I use it whenever I travel in Mexico and the US. The worst experience I've had, in my 2 years of using Uber, was in San Francisco. I waited 14 minutes for a driver who didn't show up. He somehow canceled and went elsewhere, and I found out the hard way. It was annoying, but didn't cost me anything but my time. The overwhelming majority of times I have used Uber were great. Nice drivers who showed up on time, drove safely and gave great service. Most Uber drivers go above and beyond. They are happy to give travel tips to tourists and help with luggage. I always feel safe with Uber as I have the Uber car's description and license tag, plus a picture of the driver."
687,I requested a ride from Times Square to the Statue of Liberty. The rate was $26 and supposed to take 20 mins. There was a lot of traffic so I didn't think much of the long ride until I started to notice all the cars had New Jersey plates. We were in Hoboken because our driver had obviously taken a wrong turn somewhere. To make matters worse he spoke little English so he could not explain what was going on. At one point he turned onto an entrance ramp in error and tried backing up it. When that didn't work he turned around and drove the wrong way. When we finally got to the New Jersey side of the ferry I received the final fare from Uber at $77! When I filed a complaint they said I had input the wrong address so it's my fault we ended up in New Jersey and refused to refund me the fare. Numerous emails back and forth got me nowhere so I am left having to dispute the charge with my credit card. Stay away from this scam artist company.
688,I have only had one ride experience I wish not to repeat - I love the ease of getting a ride and the efficiency of the drivers. The costs are always reasonable as well. I will definitely use Uber in my future.
689,Love the concept and it's much nicer than riding in a taxi cab with people who generally aren't all that happy to work there. This way you have a personable driver and can have a good experience. Haven't had one bad experience yet but if I did I would make it known to the company right away.
690,"I've had a really great experience with Uber as a customer. I've been lucky to have had professional, timely, and friendly drivers who easily put me at ease, and got me to my destination safely, and in a timely manner."
691,"Been driving for Uber about a year now and am very unhappy with the way they conduct business. There are so many issues that I could write all day about, but needless to say their app is flawed and their customer service is a joke. They are not consistent on how much they pay and since I have so many passengers throughout the day it's near impossible to keep track of the details of every fare. But after 2000+ passengers you start to get a sense of basically how much you'll get paid for rides taking a certain amount of time going a certain distance. Uber compensates me different amounts periodically, sometimes it will be a fair amount while other times I feel very shorted, of course I've never felt overpaid... Imagine that."
692,Cab no. **. Driver name Anil **. I booked my cab from New Delhi railway station to my home and by mistake I left my phone in cab. My driver didn't returned my phone. Moreover misbehave with me as he was having no fear of Uber or Uber policies are in favor of him only. After that I visited Uber office Gurgaon also but no one helped me there. Also I don't understand what type of system these people are following and who is supporting this system a company where customer service is not there and there is no one to complain also.
693,"I took a airport to airport from my hotel in Las WBA’s. The amount said I will be charged $14 plus some change. When the Uber arrived I informed the driver that I am taking domestic flight and want to go to domestic terminal. The driver said, ""I don’t speak English."" I kept telling him I want to go to domestic. He kept saying, ""Okay okay."" Finally when he took a turn I realized he was taking me to the international terminaI. I said, ""This is the wrong terminal."" He pulled over and pulled over his phone and asked me to talk into his phone translator. This he did after driving for 20 minutes and not listening to me. I even mentioned the name of the airline went I first enter the car. Did not understood a word of English and in spite of complaining to the Uber customer service they still charged twice as much. I will never take Uber again as they have my credit so they charged me doubled for having a driver who did not spoke a word of English in a US city."
694,Driver was on his way with our food as we could see his progress with the GPS. He decided not to come and made off with the food. $51.00 down the drain. Restaurant is no longer answering the phone and you can't speak to anyone at Uber.
695,"I requested an Uber as I usually do and the trip went very good. As soon as I reached my destination, a friend opened the door for me to help me with my Bags. I always look back to see if I forget anything, and I didn’t, and my friend didn’t see anything wrong with the seats as well. The next day I received an email stating that they are charging me for a cleaning fee of 80 Dollars. There was nothing wrong with the backseats. I tried contacting Uber support but it was worthless. Nobody answers via text and they don’t have any customer service number. After this horrible experience I don’t trust this company anymore. I will no longer be using uber services for their lack of professionalism, and the accountability of your lousy driver."
696,Do not! Trust or use this company. Uber does not care about their drivers nor the riders. I say this because 1st off. The 3rd party company that they use deny all. To whom may have any past minor traffic or minor offenses that do not concern with felons. I have no major offensive issues and felt with things to get my driver's license back. Been years! Still the 3rd party company will send Uber a red flag and deny all incoming new party meaning new applications for new drivers. They have been reported to many! Different local news agents and states. They also do not care about the drivers. Via YouTube reviews on Uber and the company. 
697,"I've been using Uber for years to take trips home from the store. It's a really convenient app for me, especially because I don't have a car. The drivers are almost always nice. I think it's been so rare for me to have a bad experience with someone. Also, probably the one feature I have not been a fan of us is seeing my customer rating, gives me a bit of anxiety. Overall it's a good service. I've almost never had to wait more than 10 minutes too. The prices have gone up but I am thinking (and hoping) this is because they will pay drivers better."
698,"ABSOLUTELY HORRIBLE!! The app charges you for your ride but once you're dropped off they keep charging. I had no choice but to take an Uber and again! I was charged for my ride, then a lesser amount than my ride and then again I woke up with my bank telling me I took another ride with Uber and was charged. Amazing cause IDK how I can take a ride while I'm sleeping. I've gone through this with them about 3 times already and instead of doing their job they ask me to, when they can check my ride log and compare to the charges.. I mean is this not what they are paid for?! Uber won't be paying me for an hour or 2 of my time to do it soooo.. Common sense. Or get experienced customer service employees who want to do their jobs, myself having at least 15 yrs of experience. "
699,"I decided to try Uber and get a ride from the local airport. I downloaded the app and booked my first Uber ride. I was watching my ride get closer and closer and I found out the name of the driver and type of car I was to be looking for. Once my ride arrived, I was welcomed by the driver that I was expecting except for there was another person waiting for the same Uber. I waited a long time for this Uber since it was 11 pm and snowing. Needless to say, the other person got the Uber because her name was on his phone. I even showed the guy my phone and when I ordered the ride which was before the other rider. I was livid. I ended having to find a cab and paying a ton more for a short ride to my car. I will never again support Uber or recommend Uber to anyone."
700,"Convenience, on-time performance, easy to hail a ride, competitive pricing with a regular taxicab. Helpful drivers too. App also makes it super easy to find a ride in minutes."
701,"I ordered UberPool, with 30% discount, the ride price was $5. Uber asked me if I want to walk and pay cheaper. I didn't want to walk and price got $9. I canceled and tried again, and again, from $5 (with discount) price got $9. I was trying to contact Uber - no way. I took taxi. Now I'm trying to reach Uber to get to know what to expect and why price got up - Uber has no customer service and no way to contact Uber."
702,"It looks like Uber has not been able to resolve the data breach issues they have and when confronted with evidence of a customer having unauthorized charges on her credit card from a foreign country, they choose to dismiss it and leave the burden of resolving the problem on the customer, instead of addressing and solving it, as a responsible and customer oriented company would do. Therefore, if you don't want your credit card to be used by foreign riders around the world, it looks like the best option you have as a customer is to resolve it yourself and close the Uber account (since Uber clearly won't resolve the issue)."
703,"Speaking as a driver for almost two years, as well as a customer for even longer. Uber by far has the worst customer service experiences. That is as a driver and customer. Avoid Uber at all costs, if you have an issue or report of a wrongful charge on your account, forget about it, you will never see that money again. Uber customer support does not even have a number you can call! Finding the email support line is very difficult, and once you do, you won’t get a response back or even the slightest bit helpful of a response. "
704,I joined Uber as prospective rider in case of my car failing and placed money into an account that would be drawn from for each event until expended. I then tried to delete my subscription/acct as an experiment and was told no money would be returned nor sent to a new account once I deleted existing acct.
705,"Cyber breach / Account hacked. Christmas day I started to get email alerts from my bank that I was charging to Uber. First one came in for over $100 then another for $75 and several others around $35 and up. All within an hour... When I accessed my account, I found all my data to be gone as if I needed to create a whole new account. I reached out to Uber right away (after contacting my credit card company of course) and the email exchanges have been beyond frustrating and their lack of due diligence in this matter is disappointing (not just for me, but their their own cyber protection and for those of their customers in general)."
706,"My experience with Uber has been terrible. There is no way to actually get in contact with customer service. I lost my phone in the back of one of their cars the other day. The only way to retrieve a lost item is to speak with your driver, however, my driver didn't speak a word of English. So I'm unable to communicate with him. Despite repeated emails to customer service explaining this, all I'm getting back are automatic reply email, telling me to contact the driver. Bad service. Will not use again."
707,"My automobile dealership has started using Uber to transport customers to & from the dealership's service. Fifty minutes ago, ""Steven,"" my projected Uber driver, texted me he would ""arrive in 22 min in a Honda Accord **"" [Massachusetts] and that I have only 2 minutes for the pickup. Fair enough! I waited thirty minutes outside in the cold before my dealership called and told me that the driver had since changed his mind because I was inconveniently far away. The contact ph# **, provided in the text, was a NOT CUSTOMER SERVICE line, but one that demanded an account # & country code, though it wouldn't have mattered since the window of time to enter the data was too short to be effective. I miss having ready service of a true taxi!"
708,I always felt safer or more secure with a female driver. Though I only had one guy who was bizarre I never let anyone even female drivers know I live alone. All drivers were prompt. Clean vehicles. Only one was slightly irritated because I had a few grocery bags.
709,"I’ve been using Uber for years. Then I tried to use it and there was a 7.00$ bal due. That’s impossible as it’s paid automatically so I pushed the button to pay and then it said I was deactivated. What did I do? I can’t get into my account to ask, can’t find a number to call. I have used this account for years. I’m livid!!"
710,Bought this card with 50$ value added by myself. When trying to use it there are NO giftcard pay options. If you can even get through. Taxi from now on. Expect to download multiple apps and find NO way to contact anyone about it.
711,The two drivers in Chicago left because they did not come to the pick up area. They went to the wrong street both times. We waited for 45 minutes and they charge us $5 both times for not being there. Uber is a great concept but have horrible drivers. This is the last time I ever use Uber again.
712,"Rideshare really impacts the cost of the ride, I feel it's a fantastic bargain. I am alerted beforehand of the expected arrival time of both pickup and drop-off before selecting and can easily to determine if time allows for pooling the ride. I have yet to have a bad experience."
713,"A short while ago my social media was hacked, and it expanded into many of my accounts (Uber being one of them). I then went on to delete my account but Uber has a policy of leaving the account open for 30 days after for possible reactivation. This led to the hacker reopening my account and using my credit card. I have since had to change all my cards. After trying to find a number to call (which they do not offer for riders) I emailed them to try and get my account deleted immediately. After 3-4 emails back and forth with them all they have done is ""refund my money"" (which they said was completed, to a card that is no longer valid) and mark my account for deletion in 30 days (allowing that individual to open my account at their leisure). I would not recommend this service to anyone if they value their privacy."
714,My daughter ordered Uber to take myself and my grandchildren to a meeting. The car had a very dark interior. When he stopped at light he turned on the red light although there was a sign NO RIGHT ON RED. He missed a car by inches and kept going.
715,I have had my account completely hacked to where I cannot sign in or view it. Someone spent over $1k in Uber rides on my credit and debit cards linked to the account and when I dialed the only number available (safety line) I was told I would need to wait until another department emailed me. I didn't hear anything for almost 24 hours and when I did it was a prompted message that did not help at all. It has been almost 2 days and I still have no received a phone call or any helpful support via email. This is a nightmare and the WORST customer service I have ever experienced. I am going to be filing a police report to the person who myself and the driver caught fraudulently using my account and looking into an attorney for Uber not making identity theft a priority and rectifying the situation on their end.
716,"I was on a business trip in CT and used Uber the entire time. The app is great and easy to use. The cost was a bit higher than I normally pay for a taxi. The drivers for the most part were nice, just a few words here and there but there were some that were so talkative."
717,I was coming home about 130 am from a friend's house. Sober. I was tired and quiet and the ride home was uncomfortable. The Uber driver did not talk to me and I just wanted to get home. I am in my early 40s and in great shape. I came home and about 30 minutes later I had a 150 dollar charge for urinating in car. I knew this was impossible. I emailed uber 20 xs and they gave me my money back. This has taken a huge emotional toll. He planned that entire ride to do this. That is why I was so uncomfortable. He was trying to steal from me. Literally. I don't think he should be driving and think uber needs to take him off the road. I am just devastated about it. It's like he stole it out of my wallet. This needs to stop. Just awful the world we live in sometimes.
718,"Uber has no customer service phone number. The only way you can communicate with them is by email. And it usually takes 4-5 days to get a response. My Uber account continues to be hacked even though I removed the app from my phone months ago. I am getting fraudulent charges on my credit card, but I cannot get Uber to help me. I just want them to delete my account completely so I don’t have to keep getting new credit cards."
719,"My last experience with Uber was with their scooters in Washington DC. It was an amazing experience! It's a whole new way to see the city - and it's especially fun if you do it with friends. My friends and I went from Pennsylvania Avenue all the way to the National Mall and back -we had a blast. It was affordable, convenient and definitely worth the try. Can't wait to go back to try it!"
720,"If anything goes wrong with the instant payment option, you have to have your bank account linked or you can't get paid. So if you don't have enough a bank account you're screwed and will not be paid. Their support told me this. I'm writing a review and reporting them."
721,"I am 65 years old, and I walked 7 miles yesterday 9/22/2020 from Doral Kia to Curtis pk, Miami, Fl, I was trying to get a Uber taxi and I could not. The application was asking me a verification code I was receiving but only one time and late, one has only 15 seconds to type the code but the code comes late and only one time, what kind of service is that? I do not recommend uber and wont never call uber for a taxi. Even, I contacted 6ya for help, but I needed a taxi."
722,"Thrifty way to get from place to place at a fair price. Clean vehicles and drivers. Unlike taxis, they don’t take you “for a ride” to make more money! Their routes are provided via telephone navigation."
723,"While visiting Nashville for a concert on August 25th, I scheduled an Uber ride at the quoted rate (iPhone app) of $21.**. We traveled from 5th Avenue, not far from Bridgestone Arena to the Gaylord Hotel. Upon arrival, I tipped the driver in cash, and we exited the vehicle. A few seconds later, I received a notification that I had been charged $79.72! Uber informed me that there was a ""surge charge"" (which I had never heard of) and that it is applicable, essentially when there are very few drivers available, relative to the number of riders needing rides. Supposedly, the rider is notified of the surge charge before accepting or rejecting the ride, but I wasn't. I was simply told ""$21.**"", then charged $79.72. There were plenty of taxis in the area that I could have taken with no waiting. Going forward, I'll routinely be using Uber's competitors when available, then taxis unless it's cost prohibitive, then Uber as a last resort."
724,"Beware. This company allows drivers to submit fake pictures claiming you made a mess of their cars and will charge you up to $150 extra without even giving you the common decency of a phone call. I was hit with a totally false charge and Uber initially refused to refund me. I did absolutely nothing to the driver or his vehicle yet when this claim hit my email, because Uber does absolutely nothing over the phone, they had already charged me without hearing my side for any details. Please avoid this alleged criminally designed company. They are not worth the headache and definitely not worth your hard earned money."
725,I have done delivery for this company for a couple of months and just noticed one of my fares was not paid by Uber. I have notified them 4 times and still have not paid me for the delivery. If you do delivery for this company make sure you double check each delivery to make sure you are getting paid.
726,"9/24/2019 Uber just updated its App. In the past, I was able to save between $6 to $8 per rider to share the pool, at the present with new Uber App, the company only cares to “maximize” its profit, yet disregard the benefit to the riders. I called the Uber via iPhone, and decided to save few dollars to join the pool rider. You could say it was my own doing that there was only two dollars difference between ride alone of $32.82 and pool rider of $30.84 (already added $2.71 for point to point pickup/drop). So around 14:07 Uber picked me up and drove around blocks, picked up another rider, dropped her off at Target, and picked up another passenger at MGM. I was all over places to save two dollars since Uber changed it App."
727,"I purchased a card for $20. When the PIN didn't work, there was no one to call. Do not do business with this outfit! Incredible that there was no customer service number to call. I lost my $20. Do not do business with them!"
728,"Why ask me to select photos of cars to prove that I am not a bot if I can only ever be talking to one on Uber's end? I switched carriers and got a new phone with a new number, which rendered me unable to sign into Uber, because I had no access to the previous phone number for verification codes. I learned there is only one way to reach out to Uber in such situation, through one email link on their website. I was not able to call them as they have made themselves unavailable to that for riders and I could not initiate a chat session with their support because I could not sign in at all, whether the app or the website."
729,"Uber has charged me a cancellation fee for a driver that no showed. A message popped up from him to walk to another location, one which I had no idea where it was or which direction. I was standing with two large bags at 5:45AM in the Marriott from parking lot in Washington DC. I wasn't walking anywhere! Won't be using uber any longer! Lyft is my choice from here on."
730,"I've never had a negative experience with Uber. It was the one I downloaded first while in college and the one I've continue to use these past 3 or so years. Some experiences have been better than others but in my opinion the drivers probably have had a worse experience. The rides I've enjoyed the most were the ones when myself and the driver have respected each other's privacy, acted courteously and professional. I have witnessed people trash and throw up all over a driver's car, and that's not alright. I think the thing that has begun to creep into the way I view Uber is all of its negative publicity. Why would I support an enterprise that I don't agree with? It's not like I am dependent on Uber. I can use other ridesharing apps, I can use a traditional taxi, I can even use public transportation. Despite all of this, I still use Uber but that might not always be the case."
731,"I have always been skeptical about rideshare services because of the news reports of assaults and robberies. I used this company for the first time earlier this year during a trip for a conference in Las Vegas. My first ride was excellent and was completed without a problem. My second ride was a little scary. I requested a ride but then my phone died. I was with a friend. While I was trying to recharge my phone, my friend came to me to tell me that our ride had arrived As we got in the car, I had an uneasy feeling. I started asking the driver ""who"" he was there to pick up and if he knew where we were going. He never gave me a straight answer and my friend had already told him where we were going. "
732,I could not post this without selecting an experience rating so I entered one. If I could select minus 5 stars I would. I drove Uber for over two months. I was not paid. Uber owes me over $600.00 and will not pay. When I contacted customer service they stated the money should be in my account within 72 hours. I contacted customer service when payment was not received. They stated that the banking information was not correct. Even though the banking information was already entered I added it again. Money was not received. Called customer service and they stated that the bank information was not correct. I asked to speak to a supervisor. I was told there was no supervisor. 
733,"Uber Eats cancel order without refund. @UberEats Hi friends. Don't order any food from Uber Eats. He will get your money and do not deliver your food, That is my experience and story. It can be with you and Its customer support will not resolve your problem. The delivery boy did not come at my home."
734,I had an accident with an Uber driver in Mexico City. The car that I got into had no side mirror. The Brakes were not working properly either. I almost got into an accident twice. The driver's conversation was unpleasant. Being a foreigner he was very curious to ask where I am from and what brought me to Mexico. I replied to be a tourist and thought that conversation is over. He became very rude and asked me if I came to look for a Mexican husband. I never answered and kept quiet. He took the wrong route and made several in requested stops. Having in mind it was uberX. He continued. Asked me whom I sleep with. He literally stopped the car and asked me to wait for him text someone. I asked him to let me go and take a different driver but he locked the doors and didn't allow me. 
735,"I’ve driving Uber for over 8500 trip in the last 3 years, with an overall drive rating of 4.91 and an excellent riders' reviews in my account. All the time we call the customer support team about any problems we have, they just don’t expect them to ever listen to you!! Last week I have a rider vomited and peed inside my vehicle and they refused to send me a cleaning fee. I talked to 5 different people in their driver's support team, but it seems they are ignorant and it seems Uber trained them to always provide the same answer. Even though I was doing Uber full time as a driver but never again. IF YOU GUYS REALLY WANT TO BE A SLAVES THEN YOU CAN WORK FOR THEM."
736,Both drivers were early and courteous. They were both efficient drivers and got us to our destination on time. The only objection was their route of travel. Since it was our first experience we did not know we could have told them there was a faster more direct route to our destination.
737,"Cheaper and nicer than taken cabs, have met some nice people. A lot of their drivers are very friendly and helpful. The savings alone are worth it because I don’t drink and drive and normal cab fee is $50."
738,"Uber does a good job of providing the service, but lately their fares have been going up and they now have discontinued the express pool service. The idea is to give a more affordable method of transportation, right?"
739,"You guys need to tell some of your employees to quit playing around in this app. Shouldn't have to ask someone why they aren't moving after several mins. Especially if I have to be somewhere essential, (no that doesn't mean going to stuff my face or going to some bs short distance place that I could have walked to, e.t.c, e.t.c) I have an early commute to work and I really don't have time for folks wanting to mess around. Sorry, unpopular opinion, you're on our time when we request the ride, not yours. Turn your app off if you don't want to drive people around but don't waste other's time though. Several times that this has happened and getting kind of sick of it. I have to put up with this until I get a car or believe me I wouldn't be using this."
740,"I have been using Uber for 2 years now. Seemed ok, but recently I was charged for a ride I took months ago (I remembered the amount - 20.04) so I opened the app and looked into trips I've taken and amounts billed. I also checked my Paypal account to verify and double check payments, and Wow I have random charges that do not coincide with rides, I have one account of double billing, and three separate charges for 17.84, 18.84 and 28.46 that have no rides associated with the dates. One was on Christmas day when I know I didn't use that service. I contacted Uber but have yet to hear anything. I cannot find any phone numbers, and the app is not very helpful."
741,"I have been using Uber as a rider from 2016 with a good passenger rating. Never had issues with any driver and my experience was in general good. A month ago Uber disabled my account. I reached customer support and after a few email exchanges, customer support sent me a rude (and offensive) email that I have violated the terms and conditions. I can safely say that this is truth challenged. I have no duplicate accounts, I am quiet as a rider and cooperative and never caused any issues. I asked customer support if there is a mistake and if they can lift the suspension but they ignored my request. This is no way to treat a client. Uber deals with problems because it cannot handle the vast clientele it has currently and makes mistakes, but this is no way to treat someone like this. I believe that TLC should investigate further how Uber is operating in terms of customer support, as well as monitor it much closer."
742,"So I took an Uber to the hospital for a medical procedure at 11:30 in the morning. Then that night at 11:30 at night a random man calls me to tell me he’s here to pick me up for my Uber. I said, ""No, I do not have an Uber now. I am asleep after having surgery."" The next day I see I am charged for that decline of service. I contacted Uber - they tell me they will take the charge off but it is not been taken off so far and I also have been charged twice for the original trip! I know that there is a pending and then there is a regular charge. I have one pending and two FULL charges of almost $40.00."
743,"If you want to be stranded, robbed and cold and hungry late or not even get there call Uber, horrible experiences 2 out of 5. Now put money on your acct for it to say having problem. Can't get money back. Can't get Uber. It's literally robbery and I will write 2 reviews a day until something is done about this, I'm just thankful my wife was able to arrange a way to pick up our son or he'd be cold hungry. This is the most ever a business or services absolute worse I've ever sealed with and I've dealt with bad ones before. Do not get robbed. Save your money. Do not call uber."
744,The drivers were fine. The problem was I could not speak to a live person. It was very frustrating not to be able to talk to a person. On occasion it took me over 2 hrs to book a ride. Their system went haywire.
745,Crooks when it comes to overcharging your card for rides you didn't take. Customer service is almost impossible to resolve any issues. Computer generated responses. Generic messages. Had to call my bank.
746,Have been using Uber and Uber Eats for years. I had recently used Uber and found a surcharge that had not been revealed to me until I had received my statement. I had asked for a refund without any response. I highly recommend NOT using this company. I am now a new Lyft customer.
747,I don’t like being charged a wait fee when they are not waiting on me. They pull up in right there and get in. There is no waiting on me. That fee should be shown before I tip the driver. You charge me extra for something that doesn’t happen is wrong. I would leave no tip are smaller.
748,"When I was still driving daily, I really respected the people who drove for Transportation Network Companies like Uber and Lyft. They use their car and their time as an opportunity to make extra money or be their own boss. I decided after multiple unsuccessful car repairs, to stop driving (I live within four blocks of 4 bus lines). Since having to depend on these car companies, I am less than impressed. I have waited for an Uber that never came at least once. Another time, the driver pulled up and drove off as I was looking for my mask within reach of the car (I knew the mask was in a pocket, just had to find out which one). I have ridden in more than one trip where the music selection was put on hip hop once I entered the car (just because I'm ** does not mean I listen to hip hop. I'm a classically trained pianist who listens that classical music or talk radio). "
749,I have been charged several time for wait time fees. These are fraudulent charges. The 2 charges Uber refunded and now I have another one and they will not refund. How do we get to stop charging fraudulently for a service not received?
750,They extort money from people and get away with it. For example I bought an Uber card for 40.00 and it wouldn't work. Their answer was that I owed 20.00 to them when in fact it is impossible to owe Uber anything. So money was taken from us and we could never get it back. I am not the only person that has been stolen from in this way.
751,1 hour ago I sent set for an Uber and the driver said he was outside. I was standing outside my job and he wasn't there. Then he said for me to walk to 202nd street when I was on 188 street. Really Dude?! I didn't order an uber pool. So he lied about being at the requested address and charged me 5.00. So then I sent for another uber and he said he was outside. Mind you I’m standing outside my job and he's not there so I’m trying to find out where he is and he canceled and charged me 5.00. So 10.00 spent and no uber yet. I took the city bus home. Is uber scamming us? Their drivers need to show proof they’re at the requested address before they charge us.
752,"Not only worst customer service... there is NO customer service available and NO ONE to contact. I took 3 rides on 2/1/20. My account shows 3 rides that I actually took 3 rides totaling charges $43.54 with tips. Verified in my trips on the app. My bank account is being charged a different amount of $62.23. That's $18.69 they didn't earn. The worst part is the app sucks with NO way to contact anyone for resolution. I am contacting my bank tomorrow and filing chargebacks. In addition, I'm moving my biz to Lyft from now on. It appears it's all set up, so they can screw potentially thousands of people out of small amounts they may not notice and stick in Uber's pocket. IMHO it's thievery. Filing a BBB complaint."
753,"At late night hour Uber driver after accepting my trip drops me midway in a deserted parking and threatened me as my trip was booked on online payment and he wanted cash. The follow ups with Uber and their responses have been appalling. On asking for driver contact details for registering a Police complaint they are denying it on account of privacy issue and sharing the car’s name plate, an Information that I am sharing in my every conversation and complaint. As a company #Uber is more concerned about protecting the interests of their Driver Partner but not keen in safeguarding the safety of their Customer."
754,"I have been trying to drive for Uber now for 4 weeks. The funny part is my girlfriend who is of a different ethnic background was approved within a week with my same car, my same insurance and a worse driving record. However I am getting the runaround for weeks with the same car and information and a much better driver record and I believe that I'm being treated this way because of my nationality. The customer service representatives for Uber played games and sent me multiple email links that took me back to the same page that did not help and I had to call four times in order to still not be active as a driver. I believe they give these Representatives too much power and they need to correct the situation before the situation corrects itself."
755,"I wish these rating systems would allow no stars. Unfortunately I have to give (one) just to submit this review. I don’t use Uber that often and the few times that I have it’s a 50/50 experience on the car you get and the person driving between ok service and a train wreck. Recently I used the app to get a car and it seemed the app was having difficulty or I was just not navigating properly and pressing the wrong buttons, who the heck knows but finally I got a car."
756,"I usually don't use Uber but I went away and had no one to take me. I had a Uber gift card but not enough money for both ways. Instead of using the balance on the gift card and charging the rest to my regular card, they did not bother to charge my gift card. They refuse to give me a refund. Customer service is the absolute worst because there is absolutely no number to call. It is by email only. This company is ridiculous and I would find another company to use."
757,"We have used Uber in many places in Europe and Canada. We have had a couple of inconveniences, but nothing really to report. We look forward to some sort of rideshare program coming to Vancouver, hopefully soon."
758,"I would give zero stars if I could. My friend from Canada bought me a gift card, I asked UBER customer service how to use it and they assured me that if it didn't apply to my order that my card would be refunded. Paid their overpriced everything for one meal and now I'm out $40+ American dollars and they say that since my Uber gift card was purchased with Canadian dollars my friend is now out of $100 Canadian dollars. I now have a gift card I can't even use and they refuse to respond to me about how I can send my friend back the gift card so he can at least use it. These people are awful and their customer service is severely incompetent."
759,I have only used this occasionally in a few cities and each time the experience was well worth it. The description of the car and the estimate of cost were both great. The cars were clean and modern and the driver was courteous.
